Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-22170,2015-07-01T00:00:00Z,294,0.95,KDE95,0.02501293204709282
Bass,A69-1601-22170,2015-08-01T00:00:00Z,232,0.5,KDE50,0.021410513207202893
Bass,A69-1601-22170,2015-08-01T00:00:00Z,232,0.95,KDE95,0.024876936690841685
Bass,A69-1601-22170,2015-09-01T00:00:00Z,203,0.5,KDE50,0.02177278437458293
Bass,A69-1601-22170,2015-09-01T00:00:00Z,203,0.95,KDE95,0.02481518707426649
Bass,A69-1601-22170,2015-12-01T00:00:00Z,129,0.5,KDE50,0.02488022136303602
Bass,A69-1601-22170,2015-12-01T00:00:00Z,129,0.95,KDE95,0.07453724420557321
Bass,A69-1601-22170,2016-01-01T00:00:00Z,30,0.5,KDE50,0.030210869249830255
Bass,A69-1601-22170,2016-01-01T00:00:00Z,30,0.95,KDE95,0.13938718284173715
Bass,A69-1601-22170,2016-03-01T00:00:00Z,155,0.5,KDE50,0.02374088507350348
Bass,A69-1601-22170,2016-03-01T00:00:00Z,155,0.95,KDE95,0.05538589318812685
Bass,A69-1601-22170,2016-04-01T00:00:00Z,173,0.5,KDE50,0.02166896716317389
Bass,A69-1601-22170,2016-04-01T00:00:00Z,173,0.95,KDE95,0.025345122589284553
Bass,A69-1601-22170,2016-05-01T00:00:00Z,95,0.5,KDE50,0.021823406850950675
Bass,A69-1601-22170,2016-05-01T00:00:00Z,95,0.95,KDE95,0.02569823203721358
Bass,A69-1601-22171,2015-03-01T00:00:00Z,248,0.5,KDE50,0.02613087393754686
Bass,A69-1601-22171,2015-03-01T00:00:00Z,248,0.95,KDE95,0.10418619335311628
Bass,A69-1601-22171,2015-05-01T00:00:00Z,68,0.5,KDE50,0.0227961541965846
Bass,A69-1601-22171,2015-05-01T00:00:00Z,68,0.95,KDE95,0.02840034056954595
Bass,A69-1601-22173,2015-05-01T00:00:00Z,47,0.5,KDE50,0.03973856421599606
