Month,method,A_B,A_S,A_I,A_U,jaccard,pct_overlap_bass,pct_overlap_snook,overlap_coef
2013-03-01,KDE95,0.056428408710076476,0.9636133121096199,0.055573328718439674,0.9644683921012567,0.05762068427910201,0.9848466399959971,0.057671815052839054,0.9848466399959971
2013-04-01,KDE95,0.14914870424359902,1.8402628682788775,0.14908420753582846,1.840327364986648,0.08100961294835177,0.999567567763343,0.0810124521369389,0.999567567763343
2013-05-01,KDE95,0.20113539380487525,1.5322460785038263,0.19373643552476205,1.5396450367839396,0.1258318839058157,0.9632140413472378,0.12643950488288247,0.9632140413472378
2014-02-01,KDE95,0.2021338552941747,1.9833332694317467,0.19722838044113747,1.9882387442847838,0.09919753400242945,0.9757315525105971,0.09944288409867003,0.9757315525105971
2014-03-01,KDE95,0.18286740277315142,1.0161265054132607,0.18277264730218046,1.0162212608842316,0.1798551696735284,0.9994818350917987,0.17987194146446014,0.9994818350917987
2014-04-01,KDE95,0.21387118533883465,1.4903355791899986,0.19050165732845661,1.5137051072003767,0.12585123510667984,0.8907308248497625,0.1278246725022795,0.8907308248497625
2014-05-01,KDE95,0.13834364820699663,1.658856708074831,0.13829808168242896,1.6589022745993987,0.08336722650876224,0.9996706279965996,0.08336951649243374,0.9996706279965996
2014-06-01,KDE95,0.12555129145177094,2.4327306131809174,0.12555129145186325,2.432730613180825,0.051609204394276686,1.0000000000007352,0.05160920439427472,1.0000000000007352
2015-02-01,KDE95,0.16768604340373372,1.656344832736586,0.1676152413092042,1.6564156348311154,0.1011915353758985,0.9995777699020599,0.10119586090794452,0.9995777699020599
2015-03-01,KDE95,0.19345194059769769,0.6691496719701671,0.1925068188365878,0.6700947937312769,0.2872829644961954,0.9951144363908173,0.2876887292939903,0.9951144363908173
2015-04-01,KDE95,0.1637360405550754,1.775023107391072,0.1637360405549209,1.7750231073912266,0.09224445578940421,0.9999999999990563,0.09224445578941225,0.9999999999990563
2015-05-01,KDE95,0.16913310296741338,0.8731514126819694,0.16894884006645947,0.8733356755829232,0.19345235147263576,0.9989105450221095,0.19349317611193767,0.9989105450221095
2015-06-01,KDE95,0.16550830571267278,0.561155116565515,0.1650860028616995,0.5615774194164883,0.293968377562676,0.9974484491932,0.29418960638208075,0.9974484491932
2015-07-01,KDE95,0.02501293204709282,1.8156276625734644,0.025012932047119248,1.815627662573438,0.013776465606206047,1.0000000000010565,0.013776465606205848,1.0000000000010565
2015-08-01,KDE95,0.024876936690841685,0.7961257390747991,0.02487693669086817,0.7961257390747726,0.03124749705967202,1.0000000000010647,0.03124749705967098,1.0000000000010647
2015-09-01,KDE95,0.02481518707426649,1.0217703672330896,0.024815187074265325,1.021770367233091,0.024286461880337906,0.999999999999953,0.024286461880337937,0.999999999999953
2015-12-01,KDE95,0.07453724420557321,0.8630593819438672,0.06352569660503178,0.8740709295444086,0.07267796520603109,0.8522678465255348,0.07360524424397422,0.8522678465255348
2016-01-01,KDE95,0.13938718284173715,0.8907919112793851,0.13072953585744995,0.8994495582636722,0.14534393247111563,0.9378877827374038,0.14675653674233732,0.9378877827374038
2016-03-01,KDE95,0.05538589318812685,1.0595187024218524,0.04552264058546559,1.0693819550245136,0.04256911234716137,0.821917603293691,0.04296539596838615,0.821917603293691
2016-04-01,KDE95,0.025345122589284553,0.7693129713098279,0.02534512258928316,0.7693129713098293,0.03294513875949687,0.9999999999999452,0.03294513875949693,0.9999999999999452
2016-05-01,KDE95,0.02569823203721358,2.050972197673578,0.025698232037138717,2.0509721976736532,0.012529780787027408,0.9999999999970868,0.012529780787027866,0.9999999999970868
2016-07-01,KDE95,0.080230436482847,0.3216652955875869,0.0795219972552823,0.3223737348151516,0.2466764151889733,0.9911699442428415,0.2472196980716221,0.9911699442428415
2016-08-01,KDE95,0.02889096868082352,0.9139618454564707,0.02889096868083084,0.9139618454564634,0.03161069449939862,1.0000000000002534,0.031610694499398365,1.0000000000002534
2016-09-01,KDE95,5.962734134432976e-4,0.8946630153738145,0,0.8952592887872578,0,0,0,0
2016-10-01,KDE95,0.12392694351378004,1.5441202019540086,0.12217256257304958,1.545874582894739,0.07903135475859525,0.9858434260461254,0.0791211477049819,0.9858434260461254
2016-11-01,KDE95,0.5004613939726928,1.6117369399552797,0.246738827365771,1.8654595065622017,0.13226705082464021,0.4930226993278008,0.15308877103270785,0.4930226993278008
2016-12-01,KDE95,0.24125807308467273,1.1178292824511353,0.18291543134409166,1.1761719241917163,0.15551759702969783,0.7581733079659269,0.1636344960860225,0.7581733079659269
2017-01-01,KDE95,0.315964273396479,1.872499807949073,0.30102489072729327,1.8874391906182586,0.1594885240401775,0.9527181269306374,0.16076097281793705,0.9527181269306374
2017-02-01,KDE95,0.21725457996127506,1.454705122874232,0.18187779258782455,1.4900819102476826,0.1220589226249936,0.837164365511851,0.12502725791496988,0.837164365511851
2017-03-01,KDE95,0.20246207271292901,1.580172664470046,0.1495323487055306,1.6331023884774443,0.091563364159268,0.7385696822216797,0.0946303856962874,0.7385696822216797
2017-04-01,KDE95,1.4305506455042405,0.296543687326889,0.2888220283394168,1.4382723044917127,0.20081178469294578,0.2018957030616786,0.973961141924561,0.973961141924561
2017-05-01,KDE95,1.1786013288842137,1.4364210579707297,0.41740854802167193,2.1976138388332713,0.18993716759777826,0.3541558437040235,0.2905892709560775,0.3541558437040235
2017-06-01,KDE95,1.019562334040966,1.9546148729528612,0.7581883430130786,2.215988863980749,0.34214447343886345,0.7436409895685834,0.3878965383434712,0.7436409895685834
